Date,Production,Year,Month,Production_Lag_1,Production_Lag_2,Production_Lag_3
1965-11-15,7988,1965,11,7875.0,7418.0,7748.0
1965-12-15,8180,1965,12,7988.0,7875.0,7418.0
1966-01-15,8047,1966,1,8180.0,7988.0,7875.0
1966-02-15,8240,1966,2,8047.0,8180.0,7988.0
1966-03-15,8294,1966,3,8240.0,8047.0,8180.0
1966-04-15,8272,1966,4,8294.0,8240.0,8047.0
1966-05-15,8344,1966,5,8272.0,8294.0,8240.0
1966-06-15,8346,1966,6,8344.0,8272.0,8294.0
1966-07-15,8230,1966,7,8346.0,8344.0,8272.0
1966-08-15,8252,1966,8,8230.0,8346.0,8344.0
1966-09-15,8254,1966,9,8252.0,8230.0,8346.0
1966-10-15,8323,1966,10,8254.0,8252.0,8230.0
1966-11-15,8427,1966,11,8323.0,8254.0,8252.0
1966-12-15,8511,1966,12,8427.0,8323.0,8254.0
1967-01-15,8567,1967,1,8511.0,8427.0,8323.0
1967-02-15,8620,1967,2,8567.0,8511.0,8427.0
1967-03-15,8544,1967,3,8620.0,8567.0,8511.0
1967-04-15,8475,1967,4,8544.0,8620.0,8567.0
1967-05-15,8385,1967,5,8475.0,8544.0,8620.0
1967-06-15,8539,1967,6,8385.0,8475.0,8544.0
1967-07-15,9154,1967,7,8539.0,8385.0,8475.0
1967-08-15,9435,1967,8,9154.0,8539.0,8385.0
1967-09-15,9095,1967,9,9435.0,9154.0,8539.0
1967-10-15,9000,1967,10,9095.0,9435.0,9154.0
1967-11-15,8978,1967,11,9000.0,9095.0,9435.0
1967-12-15,8908,1967,12,8978.0,9000.0,9095.0
1968-01-15,9028,1968,1,8908.0,8978.0,9000.0
1968-02-15,9325,1968,2,9028.0,8908.0,8978.0
1968-03-15,9319,1968,3,9325.0,9028.0,8908.0
1968-04-15,9123,1968,4,9319.0,9325.0,9028.0
1968-05-15,9205,1968,5,9123.0,9319.0,9325.0
1968-06-15,9144,1968,6,9205.0,9123.0,9319.0
1968-07-15,9156,1968,7,9144.0,9205.0,9123.0
1968-08-15,9134,1968,8,9156.0,9144.0,9205.0
1968-09-15,8932,1968,9,9134.0,9156.0,9144.0
1968-10-15,8916,1968,10,8932.0,9134.0,9156.0
1968-11-15,8969,1968,11,8916.0,8932.0,9134.0
1968-12-15,8906,1968,12,8969.0,8916.0,8932.0
1969-01-15,8888,1969,1,8906.0,8969.0,8916.0
1969-02-15,8928,1969,2,8888.0,8906.0,8969.0
1969-03-15,9055,1969,3,8928.0,8888.0,8906.0
1969-04-15,9238,1969,4,9055.0,8928.0,8888.0
1969-05-15,9356,1969,5,9238.0,9055.0,8928.0
1969-06-15,9631,1969,6,9356.0,9238.0,9055.0
1969-07-15,9295,1969,7,9631.0,9356.0,9238.0
1969-08-15,9067,1969,8,9295.0,9631.0,9356.0
1969-09-15,9295,1969,9,9067.0,9295.0,9631.0
1969-10-15,9213,1969,10,9295.0,9067.0,9295.0
1969-11-15,9346,1969,11,9213.0,9295.0,9067.0
1969-12-15,9528,1969,12,9346.0,9213.0,9295.0
1970-01-15,9478,1970,1,9528.0,9346.0,9213.0
1970-02-15,9570,1970,2,9478.0,9528.0,9346.0
1970-03-15,9508,1970,3,9570.0,9478.0,9528.0
1970-04-15,9591,1970,4,9508.0,9570.0,9478.0
1970-05-15,9523,1970,5,9591.0,9508.0,9570.0
1970-06-15,9359,1970,6,9523.0,9591.0,9508.0
1970-07-15,9202,1970,7,9359.0,9523.0,9591.0
1970-08-15,9560,1970,8,9202.0,9359.0,9523.0
1970-09-15,9853,1970,9,9560.0,9202.0,9359.0
1970-10-15,10013,1970,10,9853.0,9560.0,9202.0
1970-11-15,10044,1970,11,10013.0,9853.0,9560.0
1970-12-15,9944,1970,12,10044.0,10013.0,9853.0
1971-01-15,9655,1971,1,9944.0,10044.0,10013.0
1971-02-15,9729,1971,2,9655.0,9944.0,10044.0
1971-03-15,9768,1971,3,9729.0,9655.0,9944.0
1971-04-15,9769,1971,4,9768.0,9729.0,9655.0
1971-05-15,9645,1971,5,9769.0,9768.0,9729.0
1971-06-15,9604,1971,6,9645.0,9769.0,9768.0
1971-07-15,9456,1971,7,9604.0,9645.0,9769.0
1971-08-15,9411,1971,8,9456.0,9604.0,9645.0
1971-09-15,9135,1971,9,9411.0,9456.0,9604.0
1971-10-15,9162,1971,10,9135.0,9411.0,9456.0
1971-11-15,9139,1971,11,9162.0,9135.0,9411.0
1971-12-15,9100,1971,12,9139.0,9162.0,9135.0
1972-01-15,9114,1972,1,9100.0,9139.0,9162.0
1972-02-15,9336,1972,2,9114.0,9100.0,9139.0
1972-03-15,9462,1972,3,9336.0,9114.0,9100.0
1972-04-15,9513,1972,4,9462.0,9336.0,9114.0
1972-05-15,9614,1972,5,9513.0,9462.0,9336.0
1972-06-15,9522,1972,6,9614.0,9513.0,9462.0
1972-07-15,9496,1972,7,9522.0,9614.0,9513.0
1972-08-15,9483,1972,8,9496.0,9522.0,9614.0
1972-09-15,9508,1972,9,9483.0,9496.0,9522.0
1972-10-15,9482,1972,10,9508.0,9483.0,9496.0
1972-11-15,9426,1972,11,9482.0,9508.0,9483.0
1972-12-15,9335,1972,12,9426.0,9482.0,9508.0
1973-01-15,9176,1973,1,9335.0,9426.0,9482.0
1973-02-15,9395,1973,2,9176.0,9335.0,9426.0
1973-03-15,9272,1973,3,9395.0,9176.0,9335.0
1973-04-15,9292,1973,4,9272.0,9395.0,9176.0
1973-05-15,9262,1973,5,9292.0,9272.0,9395.0
1973-06-15,9214,1973,6,9262.0,9292.0,9272.0
1973-07-15,9217,1973,7,9214.0,9262.0,9292.0
1973-08-15,9169,1973,8,9217.0,9214.0,9262.0
1973-09-15,9065,1973,9,9169.0,9217.0,9214.0
1973-10-15,9224,1973,10,9065.0,9169.0,9217.0
1973-11-15,9161,1973,11,9224.0,9065.0,9169.0
1973-12-15,9063,1973,12,9161.0,9224.0,9065.0
1974-01-15,8934,1974,1,9063.0,9161.0,9224.0
1974-02-15,9142,1974,2,8934.0,9063.0,9161.0
1974-03-15,8965,1974,3,9142.0,8934.0,9063.0
1974-04-15,8954,1974,4,8965.0,9142.0,8934.0
1974-05-15,8911,1974,5,8954.0,8965.0,9142.0
1974-06-15,8780,1974,6,8911.0,8954.0,8965.0
1974-07-15,8780,1974,7,8780.0,8911.0,8954.0
1974-08-15,8699,1974,8,8780.0,8780.0,8911.0
1974-09-15,8443,1974,9,8699.0,8780.0,8780.0
1974-10-15,8611,1974,10,8443.0,8699.0,8780.0
1974-11-15,8569,1974,11,8611.0,8443.0,8699.0
1974-12-15,8527,1974,12,8569.0,8611.0,8443.0
1975-01-15,8455,1975,1,8527.0,8569.0,8611.0
1975-02-15,8591,1975,2,8455.0,8527.0,8569.0
1975-03-15,8493,1975,3,8591.0,8455.0,8527.0
1975-04-15,8457,1975,4,8493.0,8591.0,8455.0
1975-05-15,8379,1975,5,8457.0,8493.0,8591.0
1975-06-15,8421,1975,6,8379.0,8457.0,8493.0
1975-07-15,8336,1975,7,8421.0,8379.0,8457.0
1975-08-15,8249,1975,8,8336.0,8421.0,8379.0
1975-09-15,8280,1975,9,8249.0,8336.0,8421.0
1975-10-15,8324,1975,10,8280.0,8249.0,8336.0
1975-11-15,8278,1975,11,8324.0,8280.0,8249.0
1975-12-15,8254,1975,12,8278.0,8324.0,8280.0
1976-01-15,8232,1976,1,8254.0,8278.0,8324.0
1976-02-15,8231,1976,2,8232.0,8254.0,8278.0
1976-03-15,8232,1976,3,8231.0,8232.0,8254.0
1976-04-15,8077,1976,4,8232.0,8231.0,8232.0
1976-05-15,8125,1976,5,8077.0,8232.0,8231.0
1976-06-15,8094,1976,6,8125.0,8077.0,8232.0
1976-07-15,8127,1976,7,8094.0,8125.0,8077.0
1976-08-15,8111,1976,8,8127.0,8094.0,8125.0
1976-09-15,8150,1976,9,8111.0,8127.0,8094.0
1976-10-15,8063,1976,10,8150.0,8111.0,8127.0
1976-11-15,8080,1976,11,8063.0,8150.0,8111.0
1976-12-15,8061,1976,12,8080.0,8063.0,8150.0
1977-01-15,7854,1977,1,8061.0,8080.0,8063.0
1977-02-15,8139,1977,2,7854.0,8061.0,8080.0
1977-03-15,8090,1977,3,8139.0,7854.0,8061.0
1977-04-15,8145,1977,4,8090.0,8139.0,7854.0
1977-05-15,8075,1977,5,8145.0,8090.0,8139.0
1977-06-15,8102,1977,6,8075.0,8145.0,8090.0
1977-07-15,8105,1977,7,8102.0,8075.0,8145.0
1977-08-15,8307,1977,8,8105.0,8102.0,8075.0
1977-09-15,8480,1977,9,8307.0,8105.0,8102.0
1977-10-15,8573,1977,10,8480.0,8307.0,8105.0
1977-11-15,8579,1977,11,8573.0,8480.0,8307.0
1977-12-15,8487,1977,12,8579.0,8573.0,8480.0
1978-01-15,8360,1978,1,8487.0,8579.0,8573.0
1978-02-15,8377,1978,2,8360.0,8487.0,8579.0
1978-03-15,8720,1978,3,8377.0,8360.0,8487.0
1978-04-15,8818,1978,4,8720.0,8377.0,8360.0
1978-05-15,8825,1978,5,8818.0,8720.0,8377.0
1978-06-15,8832,1978,6,8825.0,8818.0,8720.0
1978-07-15,8756,1978,7,8832.0,8825.0,8818.0
1978-08-15,8758,1978,8,8756.0,8832.0,8825.0
1978-09-15,8800,1978,9,8758.0,8756.0,8832.0
1978-10-15,8820,1978,10,8800.0,8758.0,8756.0
1978-11-15,8741,1978,11,8820.0,8800.0,8758.0
1978-12-15,8662,1978,12,8741.0,8820.0,8800.0
1979-01-15,8475,1979,1,8662.0,8741.0,8820.0
1979-02-15,8525,1979,2,8475.0,8662.0,8741.0
1979-03-15,8601,1979,3,8525.0,8475.0,8662.0
1979-04-15,8553,1979,4,8601.0,8525.0,8475.0
1979-05-15,8601,1979,5,8553.0,8601.0,8525.0
1979-06-15,8432,1979,6,8601.0,8553.0,8601.0
1979-07-15,8364,1979,7,8432.0,8601.0,8553.0
1979-08-15,8548,1979,8,8364.0,8432.0,8601.0
1979-09-15,8523,1979,9,8548.0,8364.0,8432.0
1979-10-15,8621,1979,10,8523.0,8548.0,8364.0
1979-11-15,8761,1979,11,8621.0,8523.0,8548.0
1979-12-15,8615,1979,12,8761.0,8621.0,8523.0
1980-01-15,8675,1980,1,8615.0,8761.0,8621.0
1980-02-15,8705,1980,2,8675.0,8615.0,8761.0
1980-03-15,8698,1980,3,8705.0,8675.0,8615.0
1980-04-15,8685,1980,4,8698.0,8705.0,8675.0
1980-05-15,8635,1980,5,8685.0,8698.0,8705.0
1980-06-15,8554,1980,6,8635.0,8685.0,8698.0
1980-07-15,8547,1980,7,8554.0,8635.0,8685.0
1980-08-15,8414,1980,8,8547.0,8554.0,8635.0
1980-09-15,8619,1980,9,8414.0,8547.0,8554.0
1980-10-15,8532,1980,10,8619.0,8414.0,8547.0
1980-11-15,8495,1980,11,8532.0,8619.0,8414.0
1980-12-15,8606,1980,12,8495.0,8532.0,8619.0
1981-01-15,8540,1981,1,8606.0,8495.0,8532.0
1981-02-15,8604,1981,2,8540.0,8606.0,8495.0
1981-03-15,8613,1981,3,8604.0,8540.0,8606.0
1981-04-15,8557,1981,4,8613.0,8604.0,8540.0
1981-05-15,8501,1981,5,8557.0,8613.0,8604.0
1981-06-15,8629,1981,6,8501.0,8557.0,8613.0
1981-07-15,8500,1981,7,8629.0,8501.0,8557.0
1981-08-15,8583,1981,8,8500.0,8629.0,8501.0
1981-09-15,8604,1981,9,8583.0,8500.0,8629.0
1981-10-15,8563,1981,10,8604.0,8583.0,8500.0
1981-11-15,8586,1981,11,8563.0,8604.0,8583.0
1981-12-15,8585,1981,12,8586.0,8563.0,8604.0
1982-01-15,8509,1982,1,8585.0,8586.0,8563.0
1982-02-15,8702,1982,2,8509.0,8585.0,8586.0
1982-03-15,8667,1982,3,8702.0,8509.0,8585.0
1982-04-15,8591,1982,4,8667.0,8702.0,8509.0
1982-05-15,8683,1982,5,8591.0,8667.0,8702.0
1982-06-15,8646,1982,6,8683.0,8591.0,8667.0
1982-07-15,8658,1982,7,8646.0,8683.0,8591.0
1982-08-15,8634,1982,8,8658.0,8646.0,8683.0
1982-09-15,8701,1982,9,8634.0,8658.0,8646.0
1982-10-15,8701,1982,10,8701.0,8634.0,8658.0
1982-11-15,8697,1982,11,8701.0,8701.0,8634.0
1982-12-15,8598,1982,12,8697.0,8701.0,8701.0
1983-01-15,8697,1983,1,8598.0,8697.0,8701.0
1983-02-15,8758,1983,2,8697.0,8598.0,8697.0
1983-03-15,8700,1983,3,8758.0,8697.0,8598.0
1983-04-15,8776,1983,4,8700.0,8758.0,8697.0
1983-05-15,8631,1983,5,8776.0,8700.0,8758.0
1983-06-15,8667,1983,6,8631.0,8776.0,8700.0
1983-07-15,8636,1983,7,8667.0,8631.0,8776.0
1983-08-15,8679,1983,8,8636.0,8667.0,8631.0
1983-09-15,8784,1983,9,8679.0,8636.0,8667.0
1983-10-15,8771,1983,10,8784.0,8679.0,8636.0
1983-11-15,8770,1983,11,8771.0,8784.0,8679.0
1983-12-15,8397,1983,12,8770.0,8771.0,8784.0
1984-01-15,8868,1984,1,8397.0,8770.0,8771.0
1984-02-15,8874,1984,2,8868.0,8397.0,8770.0
1984-03-15,8672,1984,3,8874.0,8868.0,8397.0
1984-04-15,8862,1984,4,8672.0,8874.0,8868.0
1984-05-15,8955,1984,5,8862.0,8672.0,8874.0
1984-06-15,8852,1984,6,8955.0,8862.0,8672.0
1984-07-15,8885,1984,7,8852.0,8955.0,8862.0
1984-08-15,8809,1984,8,8885.0,8852.0,8955.0
1984-09-15,8993,1984,9,8809.0,8885.0,8852.0
1984-10-15,8906,1984,10,8993.0,8809.0,8885.0
1984-11-15,8979,1984,11,8906.0,8993.0,8809.0
1984-12-15,8897,1984,12,8979.0,8906.0,8993.0
1985-01-15,8740,1985,1,8897.0,8979.0,8906.0
1985-02-15,9025,1985,2,8740.0,8897.0,8979.0
1985-03-15,9095,1985,3,9025.0,8740.0,8897.0
1985-04-15,9043,1985,4,9095.0,9025.0,8740.0
1985-05-15,9132,1985,5,9043.0,9095.0,9025.0
1985-06-15,9022,1985,6,9132.0,9043.0,9095.0
1985-07-15,8949,1985,7,9022.0,9132.0,9043.0
1985-08-15,8803,1985,8,8949.0,9022.0,9132.0
1985-09-15,8954,1985,9,8803.0,8949.0,9022.0
1985-10-15,8970,1985,10,8954.0,8803.0,8949.0
1985-11-15,8902,1985,11,8970.0,8954.0,8803.0
1985-12-15,9030,1985,12,8902.0,8970.0,8954.0
1986-01-15,9137,1986,1,9030.0,8902.0,8970.0
1986-02-15,9173,1986,2,9137.0,9030.0,8902.0
1986-03-15,9013,1986,3,9173.0,9137.0,9030.0
1986-04-15,8864,1986,4,9013.0,9173.0,9137.0
1986-05-15,8838,1986,5,8864.0,9013.0,9173.0
1986-06-15,8623,1986,6,8838.0,8864.0,9013.0
1986-07-15,8660,1986,7,8623.0,8838.0,8864.0
1986-08-15,8374,1986,8,8660.0,8623.0,8838.0
1986-09-15,8328,1986,9,8374.0,8660.0,8623.0
1986-10-15,8419,1986,10,8328.0,8374.0,8660.0
1986-11-15,8412,1986,11,8419.0,8328.0,8374.0
1986-12-15,8352,1986,12,8412.0,8419.0,8328.0
1987-01-15,8480,1987,1,8352.0,8412.0,8419.0
1987-02-15,8389,1987,2,8480.0,8352.0,8412.0
1987-03-15,8464,1987,3,8389.0,8480.0,8352.0
1987-04-15,8498,1987,4,8464.0,8389.0,8480.0
1987-05-15,8336,1987,5,8498.0,8464.0,8389.0
1987-06-15,8279,1987,6,8336.0,8498.0,8464.0
1987-07-15,8251,1987,7,8279.0,8336.0,8498.0
1987-08-15,8210,1987,8,8251.0,8279.0,8336.0
1987-09-15,8205,1987,9,8210.0,8251.0,8279.0
1987-10-15,8364,1987,10,8205.0,8210.0,8251.0
1987-11-15,8397,1987,11,8364.0,8205.0,8210.0
1987-12-15,8318,1987,12,8397.0,8364.0,8205.0
1988-01-15,8250,1988,1,8318.0,8397.0,8364.0
1988-02-15,8374,1988,2,8250.0,8318.0,8397.0
1988-03-15,8374,1988,3,8374.0,8250.0,8318.0
1988-04-15,8288,1988,4,8374.0,8374.0,8250.0
1988-05-15,8229,1988,5,8288.0,8374.0,8374.0
1988-06-15,8170,1988,6,8229.0,8288.0,8374.0
1988-07-15,8040,1988,7,8170.0,8229.0,8288.0
1988-08-15,8079,1988,8,8040.0,8170.0,8229.0
1988-09-15,7895,1988,9,8079.0,8040.0,8170.0
1988-10-15,8023,1988,10,7895.0,8079.0,8040.0
1988-11-15,8023,1988,11,8023.0,7895.0,8079.0
1988-12-15,7942,1988,12,8023.0,8023.0,7895.0
1989-01-15,7937,1989,1,7942.0,8023.0,8023.0
1989-02-15,7788,1989,2,7937.0,7942.0,8023.0
1989-03-15,7575,1989,3,7788.0,7937.0,7942.0
1989-04-15,7772,1989,4,7575.0,7788.0,7937.0
1989-05-15,7816,1989,5,7772.0,7575.0,7788.0
1989-06-15,7624,1989,6,7816.0,7772.0,7575.0
1989-07-15,7444,1989,7,7624.0,7816.0,7772.0
1989-08-15,7544,1989,8,7444.0,7624.0,7816.0
1989-09-15,7548,1989,9,7544.0,7444.0,7624.0
1989-10-15,7453,1989,10,7548.0,7544.0,7444.0
1989-11-15,7536,1989,11,7453.0,7548.0,7544.0
1989-12-15,7337,1989,12,7536.0,7453.0,7548.0
1990-01-15,7546,1990,1,7337.0,7536.0,7453.0
1990-02-15,7497,1990,2,7546.0,7337.0,7536.0
1990-03-15,7433,1990,3,7497.0,7546.0,7337.0
1990-04-15,7407,1990,4,7433.0,7497.0,7546.0
1990-05-15,7328,1990,5,7407.0,7433.0,7497.0
1990-06-15,7106,1990,6,7328.0,7407.0,7433.0
1990-07-15,7173,1990,7,7106.0,7328.0,7407.0
1990-08-15,7287,1990,8,7173.0,7106.0,7328.0
1990-09-15,7224,1990,9,7287.0,7173.0,7106.0
1990-10-15,7542,1990,10,7224.0,7287.0,7173.0
1990-11-15,7387,1990,11,7542.0,7224.0,7287.0
1990-12-15,7338,1990,12,7387.0,7542.0,7224.0
1991-01-15,7500,1991,1,7338.0,7387.0,7542.0
1991-02-15,7637,1991,2,7500.0,7338.0,7387.0
1991-03-15,7546,1991,3,7637.0,7500.0,7338.0
1991-04-15,7509,1991,4,7546.0,7637.0,7500.0
1991-05-15,7409,1991,5,7509.0,7546.0,7637.0
1991-06-15,7320,1991,6,7409.0,7509.0,7546.0
1991-07-15,7347,1991,7,7320.0,7409.0,7509.0
1991-08-15,7316,1991,8,7347.0,7320.0,7409.0
1991-09-15,7368,1991,9,7316.0,7347.0,7320.0
1991-10-15,7437,1991,10,7368.0,7316.0,7347.0
1991-11-15,7328,1991,11,7437.0,7368.0,7316.0
1991-12-15,7299,1991,12,7328.0,7437.0,7368.0
1992-01-15,7361,1992,1,7299.0,7328.0,7437.0
1992-02-15,7389,1992,2,7361.0,7299.0,7328.0
1992-03-15,7348,1992,3,7389.0,7361.0,7299.0
1992-04-15,7293,1992,4,7348.0,7389.0,7361.0
1992-05-15,7169,1992,5,7293.0,7348.0,7389.0
1992-06-15,7167,1992,6,7169.0,7293.0,7348.0
1992-07-15,7131,1992,7,7167.0,7169.0,7293.0
1992-08-15,6922,1992,8,7131.0,7167.0,7169.0
1992-09-15,7030,1992,9,6922.0,7131.0,7167.0
1992-10-15,7126,1992,10,7030.0,6922.0,7131.0
1992-11-15,7024,1992,11,7126.0,7030.0,6922.0
1992-12-15,7103,1992,12,7024.0,7126.0,7030.0
1993-01-15,6961,1993,1,7103.0,7024.0,7126.0
1993-02-15,6943,1993,2,6961.0,7103.0,7024.0
1993-03-15,6974,1993,3,6943.0,6961.0,7103.0
1993-04-15,6881,1993,4,6974.0,6943.0,6961.0
1993-05-15,6847,1993,5,6881.0,6974.0,6943.0
1993-06-15,6795,1993,6,6847.0,6881.0,6974.0
1993-07-15,6688,1993,7,6795.0,6847.0,6881.0
1993-08-15,6758,1993,8,6688.0,6795.0,6847.0
1993-09-15,6712,1993,9,6758.0,6688.0,6795.0
1993-10-15,6839,1993,10,6712.0,6758.0,6688.0
1993-11-15,6912,1993,11,6839.0,6712.0,6758.0
1993-12-15,6858,1993,12,6912.0,6839.0,6712.0
1994-01-15,6817,1994,1,6858.0,6912.0,6839.0
1994-02-15,6770,1994,2,6817.0,6858.0,6912.0
1994-03-15,6746,1994,3,6770.0,6817.0,6858.0
1994-04-15,6612,1994,4,6746.0,6770.0,6817.0
1994-05-15,6688,1994,5,6612.0,6746.0,6770.0
1994-06-15,6611,1994,6,6688.0,6612.0,6746.0
1994-07-15,6501,1994,7,6611.0,6688.0,6612.0
1994-08-15,6544,1994,8,6501.0,6611.0,6688.0
1994-09-15,6609,1994,9,6544.0,6501.0,6611.0
1994-10-15,6658,1994,10,6609.0,6544.0,6501.0
1994-11-15,6628,1994,11,6658.0,6609.0,6544.0
1994-12-15,6760,1994,12,6628.0,6658.0,6609.0
1995-01-15,6682,1995,1,6760.0,6628.0,6658.0
1995-02-15,6794,1995,2,6682.0,6760.0,6628.0
1995-03-15,6600,1995,3,6794.0,6682.0,6760.0
1995-04-15,6604,1995,4,6600.0,6794.0,6682.0
1995-05-15,6629,1995,5,6604.0,6600.0,6794.0
1995-06-15,6579,1995,6,6629.0,6604.0,6600.0
1995-07-15,6449,1995,7,6579.0,6629.0,6604.0
1995-08-15,6447,1995,8,6449.0,6579.0,6629.0
1995-09-15,6416,1995,9,6447.0,6449.0,6579.0
1995-10-15,6421,1995,10,6416.0,6447.0,6449.0
1995-11-15,6585,1995,11,6421.0,6416.0,6447.0
1995-12-15,6530,1995,12,6585.0,6421.0,6416.0
1996-01-15,6495,1996,1,6530.0,6585.0,6421.0
1996-02-15,6577,1996,2,6495.0,6530.0,6585.0
1996-03-15,6571,1996,3,6577.0,6495.0,6530.0
1996-04-15,6444,1996,4,6571.0,6577.0,6495.0
1996-05-15,6394,1996,5,6444.0,6571.0,6577.0
1996-06-15,6458,1996,6,6394.0,6444.0,6571.0
1996-07-15,6338,1996,7,6458.0,6394.0,6444.0
1996-08-15,6360,1996,8,6338.0,6458.0,6394.0
1996-09-15,6482,1996,9,6360.0,6338.0,6458.0
1996-10-15,6481,1996,10,6482.0,6360.0,6338.0
1996-11-15,6476,1996,11,6481.0,6482.0,6360.0
1996-12-15,6506,1996,12,6476.0,6481.0,6482.0
1997-01-15,6402,1997,1,6506.0,6476.0,6481.0
1997-02-15,6514,1997,2,6402.0,6506.0,6476.0
1997-03-15,6452,1997,3,6514.0,6402.0,6506.0
1997-04-15,6441,1997,4,6452.0,6514.0,6402.0
1997-05-15,6474,1997,5,6441.0,6452.0,6514.0
1997-06-15,6442,1997,6,6474.0,6441.0,6452.0
1997-07-15,6409,1997,7,6442.0,6474.0,6441.0
1997-08-15,6347,1997,8,6409.0,6442.0,6474.0
1997-09-15,6486,1997,9,6347.0,6409.0,6442.0
1997-10-15,6467,1997,10,6486.0,6347.0,6409.0
1997-11-15,6459,1997,11,6467.0,6486.0,6347.0
1997-12-15,6531,1997,12,6459.0,6467.0,6486.0
1998-01-15,6541,1998,1,6531.0,6459.0,6467.0
1998-02-15,6476,1998,2,6541.0,6531.0,6459.0
1998-03-15,6408,1998,3,6476.0,6541.0,6531.0
1998-04-15,6483,1998,4,6408.0,6476.0,6541.0
1998-05-15,6347,1998,5,6483.0,6408.0,6476.0
1998-06-15,6267,1998,6,6347.0,6483.0,6408.0
1998-07-15,6194,1998,7,6267.0,6347.0,6483.0
1998-08-15,6203,1998,8,6194.0,6267.0,6347.0
1998-09-15,5789,1998,9,6203.0,6194.0,6267.0
1998-10-15,6143,1998,10,5789.0,6203.0,6194.0
1998-11-15,6140,1998,11,6143.0,5789.0,6203.0
1998-12-15,6043,1998,12,6140.0,6143.0,5789.0
1999-01-15,5963,1999,1,6043.0,6140.0,6143.0
1999-02-15,5966,1999,2,5963.0,6043.0,6140.0
1999-03-15,5883,1999,3,5966.0,5963.0,6043.0
1999-04-15,5887,1999,4,5883.0,5966.0,5963.0
1999-05-15,5875,1999,5,5887.0,5883.0,5966.0
1999-06-15,5760,1999,6,5875.0,5887.0,5883.0
1999-07-15,5798,1999,7,5760.0,5875.0,5887.0
1999-08-15,5780,1999,8,5798.0,5760.0,5875.0
1999-09-15,5804,1999,9,5780.0,5798.0,5760.0
1999-10-15,5947,1999,10,5804.0,5780.0,5798.0
1999-11-15,5960,1999,11,5947.0,5804.0,5780.0
1999-12-15,5959,1999,12,5960.0,5947.0,5804.0
2000-01-15,5784,2000,1,5959.0,5960.0,5947.0
2000-02-15,5852,2000,2,5784.0,5959.0,5960.0
2000-03-15,5918,2000,3,5852.0,5784.0,5959.0
2000-04-15,5854,2000,4,5918.0,5852.0,5784.0
2000-05-15,5847,2000,5,5854.0,5918.0,5852.0
2000-06-15,5823,2000,6,5847.0,5854.0,5918.0
2000-07-15,5739,2000,7,5823.0,5847.0,5854.0
2000-08-15,5789,2000,8,5739.0,5823.0,5847.0
2000-09-15,5758,2000,9,5789.0,5739.0,5823.0
2000-10-15,5809,2000,10,5758.0,5789.0,5739.0
2000-11-15,5833,2000,11,5809.0,5758.0,5789.0
2000-12-15,5855,2000,12,5833.0,5809.0,5758.0
2001-01-15,5799,2001,1,5855.0,5833.0,5809.0
2001-02-15,5780,2001,2,5799.0,5855.0,5833.0
2001-03-15,5880,2001,3,5780.0,5799.0,5855.0
2001-04-15,5863,2001,4,5880.0,5780.0,5799.0
2001-05-15,5829,2001,5,5863.0,5880.0,5780.0
2001-06-15,5766,2001,6,5829.0,5863.0,5880.0
2001-07-15,5749,2001,7,5766.0,5829.0,5863.0
2001-08-15,5725,2001,8,5749.0,5766.0,5829.0
2001-09-15,5709,2001,9,5725.0,5749.0,5766.0
2001-10-15,5746,2001,10,5709.0,5725.0,5749.0
2001-11-15,5881,2001,11,5746.0,5709.0,5725.0
2001-12-15,5887,2001,12,5881.0,5746.0,5709.0
2002-01-15,5873,2002,1,5887.0,5881.0,5746.0
2002-02-15,5881,2002,2,5873.0,5887.0,5881.0
2002-03-15,5886,2002,3,5881.0,5873.0,5887.0
2002-04-15,5844,2002,4,5886.0,5881.0,5873.0
2002-05-15,5905,2002,5,5844.0,5886.0,5881.0
2002-06-15,5884,2002,6,5905.0,5844.0,5886.0
2002-07-15,5751,2002,7,5884.0,5905.0,5844.0
2002-08-15,5796,2002,8,5751.0,5884.0,5905.0
2002-09-15,5411,2002,9,5796.0,5751.0,5884.0
2002-10-15,5358,2002,10,5411.0,5796.0,5751.0
2002-11-15,5624,2002,11,5358.0,5411.0,5796.0
2002-12-15,5722,2002,12,5624.0,5358.0,5411.0
2003-01-15,5755,2003,1,5722.0,5624.0,5358.0
2003-02-15,5783,2003,2,5755.0,5722.0,5624.0
2003-03-15,5803,2003,3,5783.0,5755.0,5722.0
2003-04-15,5726,2003,4,5803.0,5783.0,5755.0
2003-05-15,5663,2003,5,5726.0,5803.0,5783.0
2003-06-15,5659,2003,6,5663.0,5726.0,5803.0
2003-07-15,5498,2003,7,5659.0,5663.0,5726.0
2003-08-15,5574,2003,8,5498.0,5659.0,5663.0
2003-09-15,5609,2003,9,5574.0,5498.0,5659.0
2003-10-15,5614,2003,10,5609.0,5574.0,5498.0
2003-11-15,5547,2003,11,5614.0,5609.0,5574.0
2003-12-15,5571,2003,12,5547.0,5614.0,5609.0
2004-01-15,5585,2004,1,5571.0,5547.0,5614.0
2004-02-15,5572,2004,2,5585.0,5571.0,5547.0
2004-03-15,5617,2004,3,5572.0,5585.0,5571.0
2004-04-15,5560,2004,4,5617.0,5572.0,5585.0
2004-05-15,5556,2004,5,5560.0,5617.0,5572.0
2004-06-15,5407,2004,6,5556.0,5560.0,5617.0
2004-07-15,5484,2004,7,5407.0,5556.0,5560.0
